timestamp,q_edad,q_genero,q_donde_compu,q_que_haces_compu,q_donde_aprendiste_compu,q_que_celu_usas,q_que_haces_celu,q_yt,q_acceso_fotos,q_mandar_fotos,q_borrar_fotos,q_mensaje_sin_wifi,q_gratuidad,q_escuela
3/12/2021 19:15:01,10,f,a_donde_compu_casa,"a_que_haces_compu_videos, a_que_haces_compu_tarea",a_donde_aprendiste_compu_casa,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_videos, a_que_haces_celu_telefono",a_yt_1compu,a_acceso_fotos_yoyotros,a_mandar_fotos_enwa,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_directo,"a_gratuidad_publicidades, a_gratuidad_paraquetodoslasusen",a_escuela_piloteo
3/17/2021 21:12:19,9,f,a_donde_compu_casa,a_que_haces_compu_juegos,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,a_que_haces_celu_redes,a_yt_1compu,a_acceso_fotos_yo,a_mandar_fotos_enwa,a_borrar_fotos_nopuedo,a_mensaje_sin_wifi_nube,a_gratuidad_yatienenplata,a_escuela_piloteo
3/18/2021 21:28:35,10,m,a_donde_compu_casa,a_que_haces_compu_videos,a_donde_aprendiste_compu_escuela,a_que_celu_usas_propio,a_que_haces_celu_juegos,a_yt_muchascompu,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_red,a_gratuidad_datos,a_escuela_piloteo
3/26/2021 22:14:29,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_videollamada","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_solo",a_que_celu_usas_prestado,"a_que_haces_celu_chat, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nose,a_acceso_fotos_yoyotros,a_mandar_fotos_copia,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_directo,"a_gratuidad_datos, a_gratuidad_paraquetodoslasusen",a_escuela_piloteo
4/19/2021 13:40:42,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos",a_donde_aprendiste_compu_casa,a_que_celu_usas_propio,a_que_haces_celu_chat,a_yt_celular,a_acceso_fotos_yo,a_mandar_fotos_laveenmicelu,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_directo,a_gratuidad_yatienenplata,a_escuela_n83_4to
4/19/2021 13:44:57,8,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada",a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_celular,a_acceso_fotos_yo,a_mandar_fotos_enwa,a_borrar_fotos_enelchat,No sé,a_gratuidad_paraquetodoslasusen,a_escuela_n83_4to
4/19/2021 13:45:11,9,m,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_solo",a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nube,a_acceso_fotos_yoyotros,a_mandar_fotos_copia,a_borrar_fotos_nopuedo,a_mensaje_sin_wifi_red,a_gratuidad_publicidades,a_escuela_n83_4to
4/19/2021 13:45:27,9,f,a_donde_compu_casa,a_que_haces_compu_videollamada,a_donde_aprendiste_compu_escuela,a_que_celu_usas_propio,"a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nube,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_nopuedo,a_mensaje_sin_wifi_red,a_gratuidad_publicidades,a_escuela_n83_4to
4/19/2021 13:51:30,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_tarea",a_donde_aprendiste_compu_casa,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes",a_yt_celular,a_acceso_fotos_yo,a_mandar_fotos_enwa,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_red,a_gratuidad_yatienenplata,a_escuela_n83_4to
4/19/2021 14:25:20,9,f,a_donde_compu_casa,"a_que_haces_compu_tarea, a_que_haces_compu_videollamada",a_donde_aprendiste_compu_casa,a_que_celu_usas_prestado,"a_que_haces_celu_chat, a_que_haces_celu_telefono",a_yt_nose,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_enelchat,No sé,"a_gratuidad_datos, a_gratuidad_publicidades",a_escuela_n83_4to
